brand_name,brand_url
AHAVA,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10021409
16BRAND,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10010608
23years old,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10000010
2AN,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10026931
3CE,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10000613
A-BEAUTY Beauty,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10013216
A. by BOM,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10000026
A2AGE Beauty,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10016620
ABCDERM,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10008450
ABIB,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10008458
ACCA KAPPA,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10014915
ACNES Beauty,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10027004
ACQUA DI PARMA,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10000629
ACROPASS,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10011883
ADDICTION,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10000637
AESOP,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10000645
AGE20'S,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10000661
AHC,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10008870
AKARAN,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10017081
ALAXO,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10009686
ALBION,http://chn.lottedfs.cnhttp://kor.lottedfs.com/kr/display/brand?dispShopNo=10012783
ALEX COSMETIC,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10000693
ALLIE,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10017401
AMORE PACIFIC,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10000741
ANNA SUI Beauty,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10000064
ANTIPODES,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10016842
APIDERMA,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10006319
ARAMIS,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10000781
ARUMYEON Beauty,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10017264
ARZTIN Beauty,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10024319
ATOBEBE Beauty,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10017577
ATOPALM,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10000805
AVAJAR,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10009007
AVANCE,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10006335
AVEDA,http://chn.lottedfs.cnhttp://kor.lottedfs.com/kr/display/brand?dispShopNo=10023295
AVENE,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10000837
BABOR,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10017393
BAIYERANG Beauty,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10017047
BANDI NAIL,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10026385
BANOBAGI Beauty,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10023516
BARRIER REPAIR,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10016968
BB LABORATORIES,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10021213
BCL,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10013948
BEAURA & BEAUTY BAR,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10006671
BEAUTY AIRPORT Beauty,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10011234
BEAUTY BLENDER,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10010917
BEBALANCE Beauty,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10015135
BEBEGANIC,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10000949
BECCA,http://chn.lottedfs.cnhttp://kor.lottedfs.com/kr/display/brand?dispShopNo=10021755
BELLA MONSTER Beauty,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10019439
BENEFIT,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10000965
BEURER,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10000997
BEYOND,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10001005
BIFESTA,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10006679
BIO OIL,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10001013
BIODERMA,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10001021
BIOEFFECT,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10016701
BIOTHERM,http://chn.lottedfs.cnhttp://kor.lottedfs.com/kr/display/brand?dispShopNo=10012076
BIOTHERM HOMME,http://chn.lottedfs.cnhttp://kor.lottedfs.com/kr/display/brand?dispShopNo=10012415
BIZOO Beauty,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10010747
BLACKMORES,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10009122
BLAK,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10013704
BLANC DOUX Beauty,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10016814
BLOOMING CELL Beauty,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10017597
BLUEDOG,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10019736
