brand_name,brand_url
香奈儿 CHANEL,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=1230787
ANTONELLA FERRANTE(vetrina),http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10009402
A-BEAUTY Beauty,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10013218
A. by BOM,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10000027
A2AGE Beauty,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10016622
ABERCROMBIE&FITCH,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10006313
ABIB,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10008460
ABKO,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10025894
ACCA KAPPA,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10014919
ACME DE LA VIE,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10019125
ACROPASS,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10011885
ADDICTION,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10000639
AGE20,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10000663
AHC,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10008872
AIRSAVE,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10000679
AKARAN,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10017085
ALAINN Jewelry,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10020618
ALAXO,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10009688
ALESSI Home,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10015224
ALETA SANDALS,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10022854
ALEX,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10000695
ALLIE,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10017405
ALLO,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10000703
ALLSAINTS,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10008256
AMETH JEWELRY,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10000719
AMUSE,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10026248
ANDAR,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10010530
ANGOOK HEALTH,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10012770
