brand_No,brand_name_x,brand_url_x,brand_name_y,brand_url_y
1230787,香奈儿 CHANEL,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=1230787,香奈儿 CHANEL,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=1230787
10009402,ANTONELLA FERRANTE(vetrina),http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10009402,ANTONELLA FERRANTE(vetrina),http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10009402
10013218,A-BEAUTY Beauty,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10013218,A-BEAUTY Beauty,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10013218
10000027,A. by BOM,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10000027,A. by BOM,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10000027
10016622,A2AGE Beauty,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10016622,A2AGE Beauty,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10016622
10006313,ABERCROMBIE&FITCH,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10006313,ABERCROMBIE&FITCH,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10006313
10008460,ABIB,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10008460,ABIB,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10008460
10025894,ABKO,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10025894,ABKO,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10025894
10014919,ACCA KAPPA,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10014919,ACCA KAPPA,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10014919
10019125,ACME DE LA VIE,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10019125,ACME DE LA VIE,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10019125
10011885,ACROPASS,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10011885,ACROPASS,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10011885
10000639,ADDICTION,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10000639,ADDICTION,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10000639
10000663,AGE20,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10000663,AGE20'S,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10000663
