dispShopNo,brand_name,brand_url
10004945,SULWHASOO,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10004945
10005121,WHOO,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10005121
10003969,LANEIGE,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10003969
10003449,SHISEIDO,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10003449
10001977,ETUDE,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10001977
10000609,3CE,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10000609
10002897,innisfree,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10002897
10001545,Cheong Kwan Jang,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10001545
10021405,AHAVA,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10021405
10010604,16BRAND,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10010604
10000008,23years old,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10000008
10026927,2AN,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10026927
10013212,A-BEAUTY Beauty,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10013212
10000024,A. by BOM,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10000024
10016616,A2AGE Beauty,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10016616
10008446,ABCDERM,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10008446
10008454,ABIB,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10008454
10014911,ACCA KAPPA,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10014911
10027000,ACNES Beauty,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10027000
10000625,ACQUA DI PARMA,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10000625
10011879,ACROPASS,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10011879
10000633,ADDICTION,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10000633
10000641,AESOP,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10000641
10000657,AGE20'S,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10000657
10008866,AHC,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10008866
10017077,AKARAN,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10017077
10009682,ALAXO,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10009682
10000689,ALEX COSMETIC,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10000689
10017397,ALLIE,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10017397
10000737,AMORE PACIFIC,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10000737
10000058,ANNA SUI Beauty,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10000058
10016838,ANTIPODES,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10016838
10006315,APIDERMA,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10006315
10000777,ARAMIS,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10000777
10017260,ARUMYEON Beauty,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10017260
10024315,ARZTIN Beauty,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10024315
10017573,ATOBEBE Beauty,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10017573
10000801,ATOPALM,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10000801
10009003,AVAJAR,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10009003
10006331,AVANCE,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10006331
10000825,AVEDA,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10000825
10000833,AVENE,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10000833
10017389,BABOR,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10017389
10017043,BAIYERANG Beauty,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10017043
10026381,BANDI NAIL,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10026381
10023512,BANOBAGI Beauty,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10023512
