brand_No_x,brand_name,brand_url_x,brand_No_y,brand_url_y
10004945.0,SULWHASOO,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10004945,,
10005121.0,WHOO,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10005121,,
10003969.0,LANEIGE,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10003969,,
10003449.0,SHISEIDO,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10003449,,
10001977.0,ETUDE,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10001977,,
10000609.0,3CE,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10000609,10000615.0,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10000615
10002897.0,innisfree,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10002897,,
10001545.0,Cheong Kwan Jang,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10001545,,
10021405.0,AHAVA,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10021405,,
10010604.0,16BRAND,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10010604,,
10000008.0,23years old,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10000008,10000011.0,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10000011
10026927.0,2AN,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10026927,10026935.0,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10026935
10013212.0,A-BEAUTY Beauty,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10013212,10013218.0,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10013218
10000024.0,A. by BOM,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10000024,10000027.0,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10000027
10016616.0,A2AGE Beauty,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10016616,10016622.0,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10016622
10008446.0,ABCDERM,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10008446,,
10008454.0,ABIB,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10008454,10008460.0,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10008460
10014911.0,ACCA KAPPA,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10014911,10014919.0,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10014919
10027000.0,ACNES Beauty,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10027000,,
10000625.0,ACQUA DI PARMA,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10000625,,
10011879.0,ACROPASS,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10011879,10011885.0,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10011885
10000633.0,ADDICTION,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10000633,10000639.0,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10000639
10000641.0,AESOP,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10000641,,
10000657.0,AGE20'S,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10000657,,
10008866.0,AHC,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10008866,10008872.0,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10008872
10017077.0,AKARAN,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10017077,10017085.0,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10017085
10009682.0,ALAXO,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10009682,10009688.0,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10009688
10000689.0,ALEX COSMETIC,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10000689,,
10017397.0,ALLIE,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10017397,10017405.0,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10017405
10000737.0,AMORE PACIFIC,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10000737,,
10000058.0,ANNA SUI Beauty,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10000058,,
10016838.0,ANTIPODES,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10016838,10016844.0,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10016844
10006315.0,APIDERMA,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10006315,10006321.0,http://chn.lottedfs.cn/kr/display/brand?dispShopNo=10006321
10000777.0,ARAMIS,http://eng.lottedfs.com/kr/display/brand?dispShopNo=10000777,,
